	sequences per sample	iteration	iowa_corn	iowa_prairie	kansas_corn	kansas_prairie	wisconsin_corn	wisconsin_prairie	wisconsin_restored	wisconsin_switchgrass
alpha_rarefaction_999355_8.biom	999355	8	27701249.732	14761063.8037	78913788.2293	56778536.2307	78129866.6685	32749471.6761	42126891.089	65849028.2308
alpha_rarefaction_999355_9.biom	999355	9	28018753.5643	14725391.8822	79983346.3661	57452103.09	78933245.2299	33234313.9086	42277029.3288	64772228.1511
alpha_rarefaction_1199224_0.biom	1199224	0	28395123.7599	15226577.0431	79677809.6767	57514471.0884	78601377.8673	32992701.2474	42714845.2519	65600205.3075
alpha_rarefaction_1199224_1.biom	1199224	1	28402615.4377	15147249.4744	80187848.3132	56972267.8761	79002088.6232	33342760.5391	42252023.6227	64992925.281
alpha_rarefaction_1199224_2.biom	1199224	2	28198289.0652	15054626.5137	81187043.7395	57574047.713	78762276.7933	33163169.8145	42638472.1485	66215325.387
alpha_rarefaction_1199224_3.biom	1199224	3	28210857.8379	15276694.2508	80113274.292	57684200.392	78994985.9739	33273209.7909	42563903.966	66049471.4665
alpha_rarefaction_1199224_4.biom	1199224	4	28183953.6898	15113750.4378	79908659.9958	57111614.071	77667468.6176	33115532.8441	42842297.6983	64997484.735
alpha_rarefaction_1199224_5.biom	1199224	5	28252728.5109	15110420.8084	80737459.169	57302997.204	80039423.5945	33185462.9007	42471454.7441	64931231.8397
alpha_rarefaction_1199224_6.biom	1199224	6	28379365.9241	15145174.3517	80400622.6855	57399773.2403	78948664.4439	33349861.9674	42914334.2445	65807811.3678
alpha_rarefaction_1199224_7.biom	1199224	7	28258572.9593	15111880.6527	79367633.2026	57485046.433	78718590.0003	33224952.9531	42867990.1732	65917296.0009
alpha_rarefaction_1199224_8.biom	1199224	8	28591206.9315	15146700.3616	80619795.6859	58087731.6567	79219493.4254	33099888.6746	42738507.5721	65793936.2943
alpha_rarefaction_1199224_9.biom	1199224	9	28095114.9425	15161859.5739	80487618.8256	57085508.6231	78647800.5972	33118333.8484	42602211.3772	65814903.4524
alpha_rarefaction_1399093_0.biom	1399093	0	28757944.2571	15602256.5091	81479474.3835	58026662.7135	79263776.8213	33475984.7171	43277097.0433	66284152.6706
alpha_rarefaction_1399093_1.biom	1399093	1	28503234.9357	15630914.5682	80037138.426	58360275.2595	78842746.1024	33528117.6378	43144219.1322	66538831.6646
alpha_rarefaction_1399093_2.biom	1399093	2	28502426.8961	15614030.6538	81572459.8264	57987938.8509	79003496.003	33506402.3005	43120854.7506	65672938.4695
alpha_rarefaction_1399093_3.biom	1399093	3	28670324.6455	15609543.3804	80995465.3196	58070316.9519	79178955.5328	33788411.2476	43210353.5311	66389112.9469
alpha_rarefaction_1399093_4.biom	1399093	4	28425660.0793	15557343.2468	80671267.8448	57564978.8433	79363480.6987	33757119.2817	43202190.9451	65853772.9441
alpha_rarefaction_1399093_5.biom	1399093	5	28521090.295	15618992.6725	81401203.5979	57721965.1552	78475005.5719	33393429.0775	43058403.6582	66577789.6084
alpha_rarefaction_1399093_6.biom	1399093	6	28555354.4109	15514824.854	80273313.9775	57744261.8821	79453670.7626	33790512.1117	43126283.1862	65644963.2789
alpha_rarefaction_1399093_7.biom	1399093	7	28478468.6585	15593108.2786	81150183.4706	58050133.7749	78485005.9462	33535506.0591	43510364.6506	66058348.6521
alpha_rarefaction_1399093_8.biom	1399093	8	28911575.066	15590750.1628	80809651.2504	58151394.0569	79071489.7815	33230485.7339	42975288.1765	65835486.0174
alpha_rarefaction_1399093_9.biom	1399093	9	28609538.8301	15635594.2385	80549274.9359	57950263.7361	79271798.2998	33637992.7547	43320550.9773	66064423.4674
alpha_rarefaction_1598962_0.biom	1598962	0	28795206.9507	15967701.5386	81102269.0447	57886794.3223	79240621.2149	33687268.9104	43887698.5346	66595121.1445
alpha_rarefaction_1598962_1.biom	1598962	1	28920319.4062	15952838.7137	81068899.9145	58192599.1004	79767538.1631	34021055.203	43770046.0681	66527763.3522
alpha_rarefaction_1598962_2.biom	1598962	2	28872850.7265	15994183.7427	81778861.6319	58291641.3467	79445229.2187	33786804.8482	43267424.4191	66927996.1547
alpha_rarefaction_1598962_3.biom	1598962	3	28705835.5975	15987648.7398	81684530.2262	58279655.6538	78547825.7084	33833582.9261	43934962.4982	66153477.703
alpha_rarefaction_1598962_4.biom	1598962	4	28832862.6294	15978884.4317	81837487.7054	58307090.3028	79759537.8138	33983590.1223	43459933.1828	66121141.4047
alpha_rarefaction_1598962_5.biom	1598962	5	28854792.5524	15959302.0006	81520435.4915	58316604.6058	79227184.8532	33776527.4085	43705610.2536	66796329.7724
alpha_rarefaction_1598962_6.biom	1598962	6	28894774.637	16025767.4981	81228793.6233	58038606.5209	78853068.0038	34039681.7438	43616695.7925	66104269.933
alpha_rarefaction_1598962_7.biom	1598962	7	28856316.5171	15989348.9673	81144945.2255	58060027.5455	80035297.8887	33716961.777	43485317.6152	66611543.2326
alpha_rarefaction_1598962_8.biom	1598962	8	28818433.5259	15942314.7476	81201875.5537	58475117.7039	79218560.0412	34132150.8401	43815337.0279	66205356.7901
alpha_rarefaction_1598962_9.biom	1598962	9	28869015.1439	16014279.6746	81359821.8939	58353486.0487	79384416.2513	33535861.0163	43508165.0955	66208565.4717
alpha_rarefaction_1798831_0.biom	1798831	0	28988778.3471	16412785.1369	81777391.2562	58620680.7369	79398266.3724	34159403.1686	44074732.93	66766274.3525
alpha_rarefaction_1798831_1.biom	1798831	1	28904829.4822	16343183.2804	81419033.5449	58368200.5906	79954867.8945	34097185.75	44216871.2375	66745328.1335
alpha_rarefaction_1798831_2.biom	1798831	2	28976220.7913	16399886.226	81746777.7164	58459659.944	79354772.0618	34034711.7014	44012452.5186	66820471.3579
alpha_rarefaction_1798831_3.biom	1798831	3	28995516.8816	16356209.1218	81949141.9937	58638705.2385	79374331.9257	34060738.3909	44065545.6975	66887949.1571
alpha_rarefaction_1798831_4.biom	1798831	4	29021987.2962	16390684.8752	81982721.6572	58456169.6478	79286775.2144	34104356.3796	43971448.8537	67006090.7759
alpha_rarefaction_1798831_5.biom	1798831	5	28965187.9924	16357173.1176	81896013.3908	58380330.235	79738574.054	34181438.3916	44074503.468	66936728.0665
alpha_rarefaction_1798831_6.biom	1798831	6	29013312.5329	16413956.202	80947123.1264	58656877.1634	79551014.4961	34165875.0118	44236811.1624	66513317.4591
alpha_rarefaction_1798831_7.biom	1798831	7	29054813.2912	16361165.8051	81482287.6348	58506221.4565	79580046.4649	34080225.0874	44128234.1179	66601291.9058
alpha_rarefaction_1798831_8.biom	1798831	8	29082038.3246	16378513.8244	81727851.9297	58325789.1105	79366797.1794	34125998.269	44112661.2956	67008351.9433
alpha_rarefaction_1798831_9.biom	1798831	9	29016788.7138	16382630.2103	81988752.6682	58782480.6842	79624528.1824	34168053.3724	43814689.9752	66903446.0515
alpha_rarefaction_1998700_0.biom	1998700	0	n/a	16752247.0519	n/a	58861373.5889	n/a	34386635.786	44283106.5729	n/a
alpha_rarefaction_1998700_1.biom	1998700	1	n/a	16752099.2296	n/a	58852141.6785	n/a	34383866.8728	44306387.0309	n/a
alpha_rarefaction_1998700_2.biom	1998700	2	n/a	16749941.3634	n/a	58857835.4406	n/a	34380643.7802	44292928.7918	n/a
alpha_rarefaction_1998700_3.biom	1998700	3	n/a	16751971.9974	n/a	58850402.5904	n/a	34375879.1717	44299389.0373	n/a
alpha_rarefaction_1998700_4.biom	1998700	4	n/a	16750483.4653	n/a	58840995.1533	n/a	34382535.3445	44307870.1968	n/a
alpha_rarefaction_1998700_5.biom	1998700	5	n/a	16752203.3999	n/a	58853939.8516	n/a	34383866.8728	44281760.0227	n/a
alpha_rarefaction_1998700_6.biom	1998700	6	n/a	16753472.7318	n/a	58846865.7618	n/a	34382465.3109	44297860.9192	n/a
alpha_rarefaction_1998700_7.biom	1998700	7	n/a	16754868.7285	n/a	58846686.8473	n/a	34381975.1657	44287230.711	n/a
alpha_rarefaction_1998700_8.biom	1998700	8	n/a	16754431.5579	n/a	58852081.7015	n/a	34379312.4927	44305399.7308	n/a
alpha_rarefaction_1998700_9.biom	1998700	9	n/a	16751503.7242	n/a	58857656.4928	n/a	34383201.0964	44300060.0447	n/a
